noradId,name,orbit_type,country,owner,users,purpose,launch_date,extra_info
45116,Aerocube 14B,LEO,USA,Aerospace Corporation,Military,Technology Development,1/31/2020,"Demonstrate new star-tracker baffle technology, a variety of nanotechnology payloads that will test new and emerging materials, including structural materials and thermal straps."
45117,Aerocube 15A,LEO,USA,Aerospace Corporation,Military,Technology Development,1/31/2020,"Demonstratae rapid development of a small-size, weight and power (SWAP), low-cost optical sensor in low earth orbit."
40965,Aerocube 5C,LEO,USA,Aerospace Corporation,Commercial,Technology Development,10/8/2015,"Demonstrate tracking technologies, optical communications and laser communication."
40045,Aerocube 6A,LEO,USA,Aerospace Corporation,Commercial,Technology Development,6/19/2014,Technology development for cubesat constellation.
40046,Aerocube 6B,LEO,USA,Aerospace Corporation,Commercial,Technology Development,6/19/2014,Technology development for cubesat constellation.
40966,Aerocube 7A,LEO,USA,Aerospace Corporation,Commercial,Technology Development,10/8/2015,
41853,Aerocube 8C,LEO,USA,Aerospace Corporation,Commercial,Technology Development,11/11/2016,
41852,Aerocube 8D,LEO,USA,Aerospace Corporation,Commercial,Technology Development,11/11/2016,
33460,Eutelsat 48D,GEO,Multinational,EUTELSAT S.A.,Commercial,Communications,12/20/2008,30 Ku-band transponders.
48270,AII-Bravo,LEO,Lithuania,Aurora Insight,Commercial,Communications,4/29/2021,
47440,AII-Charlie,LEO,Lithuania,Aurora Insight,Commercial,Communications,1/24/2021,"Scann RF spectrum on Earth and detecting where different network technologies, including 5G, have been deployed."
31304,AIM,LEO,USA,"Center for Atmospheric Sciences, Hampton University/NASA",Government,Earth Observation,4/25/2007,Study noctilucent clouds (NLC) in the polar mesosphere. In 2011 the mission was extended through FY 2012.
36797,AISSat-1,LEO,Norway,Norwegian Coastal Admnistration,Government,Communications,7/12/2010,Equipped with instrument that receives and forwards Automatic Identification System (AIS) signals; will demonstrate maritime ship-tracking technologies.
40075,AISSat-2,LEO,Norway,Norwegian Coastal Admnistration,Government,Communications,7/8/2014,Second in the series.
43768,AISTechSat-2,LEO,Spain,AISTech,Commercial,Earth Observation,12/3/2018,First satellite built by GOMSpace. Earth observation and AIS tracking. Demonstration flight.
44103,AISTechSat-3,LEO,Spain,AISTech,Commercial,Earth Observation,4/1/2019,Pathfinder for the company's planned network of satellites providing aviation tracking and remote asset management services.
43174,Al Yah-3,GEO,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),Commercial,Communications,1/25/2018,"Placed in an incorrect transfer orbit, but has reached correct orbit and functioning well."
43805,Al-Farabi-2,LEO,Kazakhstan,Al-Farabi Kazakh National University,Civil,Technology Development,12/3/2018,Technology demonstration mission.
43039,Alcomsat,GEO,Algeria,Algerian Space Agency (ASAL),Government,Communications,12/10/2017,Algeria's first communications satellite.
44824,ALE-2,LEO,Japan,Astro Live Experiences,Commercial,Earth Science,12/6/2019,Planned display of colorful meteor-like lights for Tokyo Summer Olympics.
52160,Alfa Crux,LEO,Brazil,University of Brasilia,Civil,Technology Development,4/1/2022,Technology development/demonstration.
39467,ALiCE,LEO,USA,US Air Force Institute of Technology,Military,Technology Development,12/6/2013,Testing a potential lightweight propulsion system for microsatellites based on an array of advanced carbon nanotubes for accelerating ions.
41785,Alsat-1B,LEO,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,9/26/2016,"Imagery for agricultural and resource monitoring, disaster management, land use mapping and urban planning,"
41789,AlSat-1N,LEO,Algeria,Algerian Space Agency (ASAL)/UK Space Agency,Government,Technology Development,9/26/2016,Technology demonstration satellite for Algerian students.
36798,Alsat-2A,LEO,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,7/12/2010,"The system will enable Algeria to obtain very high quality images for use in a wide variety of applications: cartography, management of agriculture, forestry, water, mineral and oil resources, crop protection, management of natural disasters and land planning."
41786,Alsat-2B,LEO,Algeria,Algerian Space Agency (ASAL),Government,Earth Observation,9/26/2016,Surveillance.
35942,Amazonas-2,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,10/1/2009,"54 Ku-band, 10 C-band transponders; North, Central and South America."
39078,Amazonas-3,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,2/7/2013,
39616,Amazonas-4A,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,3/22/2014,Suffered a power malfunction shortly after entering orbit; will affect capacity.
42934,Amazonas-5,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,9/12/2017,"34 Ka-band, 24 Ku-band"
55508,Amazonas-Nexus,GEO,Spain,Hispamar (subsidiary of Hispasat - Spain),Commercial,Communications,2/7/2023,
47699,Amazonia-1,LEO,Brazil,National Institute for Space Research (INPE),Government,Earth Observation,2/28/2021,First earth observation satellite produced entirely by Brazil.
28252,AMC-11,GEO,USA,SES S.A.,Commercial,Communications,5/19/2004,24 C-band transponders.
28446,AMC-15,GEO,USA,SES S.A.,Commercial,Communications,10/14/2004,"Hybrid Ku-Ka-band satellite; CONUS, Alaska, Hawaii."
29644,AMC-18,GEO,USA,SES S.A.,Commercial,Communications,12/8/2006,All c-band transponders for North American coverage.
33275,AMC-21,GEO,USA,SES S.A.,Commercial,Communications,8/14/2008,"Television services to the US, Canada, Mexico and Caribbean."
26580,AMC-6,GEO,USA,SES S.A.,Commercial,Communications,10/22/2000,"Business (government and VSAT), media and entertainment; 28 Ku- and 24 C-band; CONUS, Canada, Mexico, Caribbean, Central America"
44394,AmGU-1,LEO,Russia,Moscow State University,Civil,Space Science,7/5/2019,Foton-Amur instrument consisting of charged particle and gamma ray detectors to study space weather phenomena.
44479,Amos 17,GEO,Israel,Space-Communication Ltd.,Military/Commercial,Communications,8/6/2019,Replaces Amos 5 which failed in 2015.
32794,Amos 3,GEO,Israel,Space-Communication Ltd.,Military/Commercial,Communications,4/28/2008,"15 transponders, Ku and Ka bands."
39237,Amos 4,GEO,Israel,Space-Communication Ltd.,Military/Commercial,Communications,8/31/2013,"Full range of satellite services for Russia, the Middle East and additional service areas. Suggested military surveillance purpose as well."
7530,Amsat-Oscar 7,LEO,USA,AMSAT-NA,Civil,Communications,11/15/1974,American amateur radio satellite.
45920,ANASIS-II,GEO,South Korea,Agency for Defense Development,Military,Communications,7/20/2020,First South Korean military satellite.
45726,ANDESITE Mule,LEO,USA,ANDESITE - Boston University,Civil,Space Science/Technology Demonstration,6/13/2020,Mule carries 8 sensor plates that will be released and gather data for a 3-dimensional view of plasma currents. Each about size of piece of bread - each has magnetometer and radio transmitter.
44876,ANGELS,LEO,ESA,Centre National d'Etudes Spatiales (CNES),Government,Communications,12/18/2019,"Miniaturized Argos Neo instrument ten times smaller than the equivalent previous-generation device. The instrument collects and locates low-power signals and messages sent by the 20,000 Argos transmitters operating around the globe. "
54033,Angosat-2,LEO,Angola,AngoSat,Government,Communications,10/12/2022,Replaces Angosat 1.
26624,Anik F1,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,11/21/2000,
28868,Anik F1R,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,9/9/2005,
28378,Anik F2,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,7/18/2004,"24 30W C-band, 40 127W Ku-band, 50 90W transponders for broadband and telemedicine to northern US states and Canada"
31102,Anik F3,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,4/9/2007,"32 Ku-band, 24 C-band and 2 Ka-band transponders; voice and video throughout North America."
39127,Anik G1,GEO,Canada,"Telesat Canada Ltd. (BCE, Inc.)",Commercial,Communications,4/15/2013,16 extended Ku-band transponders fully contracted to Shaw Direct for 15 years.
28372,AprizeSat 1,LEO,Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,6/29/2004,Messaging services.
40019,AprizeSat 10,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,6/19/2014,Will provide tracking and data monitoring services for companies with remote or mobile assets.
28366,AprizeSat 2,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Technology Development,6/29/2004,Messaging services.
35686,AprizeSat 3,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,7/29/2009,Will provide tracking and data monitoring services for companies with remote or mobile assets.
35684,AprizeSat 4,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,7/29/2009,Will provide tracking and data monitoring services for companies with remote or mobile assets.
37792,AprizeSat 5,LEO,Canada,"Aprize Satellite, Argentina",Commercial,Communications,8/17/2011,Continuation of constellation.
39416,AprizeSat 7,LEO,Canada,"Aprize Satellite, Argentina",Commercial,Communications,11/21/2013,Continuation of constellation.
39425,AprizeSat 8,LEO,USA/Argentina,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,11/21/2013,Continuation of constellation.
40018,AprizeSat 9,LEO,USA,"Aprize Satellite, Argentina",Commercial,Communications/Maritime Tracking,6/19/2014,Will provide tracking and data monitoring services for companies with remote or mobile assets.
43450,Apstar 6C,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,5/3/2018,"45 C-band, Ku-band and Ka-band transponders, Apstar 6C’s wider coverage zone will stretch from Siberia and India in the north and west, to Australia and Hawaii in the south and east."
45863,Apstar 6D,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,7/9/2020,"Will use a conventional liquid-fueled engine to raise its orbit in the coming weeks, then rely on electric plasma thrusters to hold position in geostationary orbit during its planned 15-year mission."
55239,Apstar 6E,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,1/12/2023,
38107,Apstar 7,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,3/31/2012,Replacement for Apstar 2R.
40982,Apstar 9,GEO,China,APT Satellite Holdings Ltd.,Commercial,Communications,10/16/2015,Replacement for Apstar 9A.
37810,Arabsat 5C,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,9/21/2011,"26 active C-band transponders, 12 active Ka-band transponders"
44186,Arabsat 6A,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Commercial,Communications,4/11/2019,
47484,ARCE 1A,LEO,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,1/24/2021,
47615,ARCE 1B,LEO,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,1/24/2021,
47616,ARCE 1C,LEO,USA,"University of South Florida, Institute of Applied Engineering (IAE).",Civil,Technology Development,1/24/2021,
52161,ARCSAT,LEO,Norway,Norwegian Defence Research Establishment,Military,Technology Demonstration,4/1/2022,Demonstrate UHF tactical communications in the North Sea and the Arctic region.
49403,ARICA,LEO,Japan,Aoyama Gakuin University in Tokyo,Civil,Technology Development,11/8/2021,Will attempt to detect transient astronomical events like gamma-ray bursts and transmit the data to the ground via a commercial communications satellite network.
47719,Arktika-M1,Elliptical,Russia,Naval Physical and Oceanographic Laboratory,Government,Earth Observation,2/28/2021,"Monitoring of environmental conditions, and also provide reliable communications and navigation across this inhospitable region."
43130,Arkyd-6A,LEO,USA,Planetary Resources,Commercial,Technology Development,1/11/2018,
40272,ArSat 1,GEO,Argentina,ArSat,Commercial,Communications,10/16/2014,"First geostationary communications satellite built in Argentina. It will support television broadcasts, data transmission and Internet access for customers in Argentina, Chile, Uruguay and Paraguay."
40941,ArSat 2,GEO,Argentina,ArSat,Commercial,Communications,9/30/2015,
48953,Arthur,LEO,Belgium,Aerospacelab,Commercial,Earth Observation,6/30/2021,https://www.nanosats.eu/sat/rrf1-arthur
47441,ASELSAT,LEO,Turkey,Istanbul Technical  University,Civil,Earth Observation,1/24/2021,Take images and transmit it to a ground station via X-band transmitter.
35696,AsiaSat-5,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,8/11/2009,"14 Ku-Band, 26 C-band, serving all of Asia."
40141,AsiaSat-6,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,9/7/2014,14 of the 28 C-band transponders will be operated by Thaicom as Thaicom 7.
37933,AsiaSat-7,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,11/25/2011,"28 C-band, 17 Ku-band, and a Ka-band payload. Will replace AsiaSat-3S."
40107,AsiaSat-8,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,8/5/2014,24 Ku-band transponders.
42942,AsiaSat-9,GEO,China,Asia Satellite Telecommunications Co. Ltd.,Commercial,Communications,9/28/2017,"38 Ku-band, 28 C-band transponders. "
26107,AsiaStar,GEO,USA,1Worldspace,Commercial,Communications,3/21/2000,"Africa, Middle East, Asia, Latin America and Caribbean. Services to underserved emerging markets; low-cost portable receivers."
40298,ASNARO-1,LEO,Japan,Japan Space Systems,Government,Earth Observation,11/6/2014,Japanese optical high-resolution Earth imaging mission under development by the NEC Corporation and USEF (Institute for Unmanned Space Experiment Free Flyer).
43152,ASNARO-2,LEO,Japan,Japan Space Systems,Government,Earth Observation,1/17/2018,X-band radar.
49397,ASTERISC,LEO,Japan,Chiba Institute of Technology,Civil,Technology Development,11/8/2021,Will unfurl a membrane-like structure to evaluate dust particles in orbit.
25071,Astra 1G,GEO,Luxembourg,SES S.A.,Commercial,Communications,12/2/1997,Direct-to-home tv; multimedia; 32 Ku-band transponders; Europe
29055,Astra 1KR,GEO,Luxembourg,SES S.A.,Commercial,Communications,4/20/2006,32 Ku-band transponders; direct-to-home broadcast services across Europe.
31306,Astra 1L,GEO,Luxembourg,SES S.A.,Commercial,Communications,5/4/2007,"29 Ku-band, 2 Ka-band transponders first five years; 25 Ku-band and 2 Ka-band thereafter."
33436,Astra 1M,GEO,Luxembourg,SES S.A.,Commercial,Communications,11/5/2008,Direct-to-home and HD television.
37775,Astra 1N,GEO,Luxembourg,SES S.A.,Commercial,Communications,8/6/2011,Direct-to-home and HD television.
25462,Astra 2A,GEO,Luxembourg,SES S.A.,Commercial,Communications,8/30/1998,"Voice and video communications to Europe; 32 Ku-band for first five years, 28 after."
26853,Astra 2C,GEO,Luxembourg,SES S.A.,Commercial,Communications,6/16/2001,"Direct-to-home; broadcasting, multimedia; 32 transponders for first five years; 28 after, continental Europe"
26638,Astra 2D,GEO,Luxembourg,SES S.A.,Commercial,Communications,12/19/2000,"Direct-to-home; broadcasting, multimedia; 16 Ku-band; UK and Ireland."
39285,Astra 2E,GEO,Luxembourg,SES S.A.,Commercial,Communications,9/29/2013,"Broadcast, Vsat and broadband services to Europe."
38778,Astra 2F,GEO,Luxembourg,SES S.A.,Commercial,Communications,9/28/2012,"Prime position for SES - BBC, ITV, Channel 5."
40364,Astra 2G,GEO,Luxembourg,SES S.A.,Commercial,Communications,12/27/2014,62 Ku-band transponders as well as 4 Ka-band transponders
27400,Astra 3A,GEO,Luxembourg,SES S.A.,Commercial,Communications,3/29/2002,"20 transponders; provide follow-on capacity for the Kopernikus satellite of Deutsche Telekom AG, contracted for 10 transponders on spacecraft; German-speaking countries of Germany, Austria and Switzerland."
36581,Astra 3B,GEO,Luxembourg,SES S.A.,Commercial,Communications,5/21/2010,"60 Ku-band, 4 Ka-band transponders. Serves German, Czech, Slovak market."
39617,Astra 5B,GEO,Luxembourg,SES S.A.,Commercial,Communications,3/22/2014,Comsat to cover Eastern Europe with Direct to Home and cable feeds to digital television networks. It also carries a hosted L-band payload for the European Commission’s European Geostationary Navigation Overlay Service (EGNOS).
43127,Astranis Demosat-2,LEO,USA,Astranis,Commercial,Technology Development,1/11/2018,Pathfinder for Astranis' small GEO satellites.
47430,Astrocast-0101 ,LEO,Switzerland,Astrocast,Commercial,Communications,1/24/2021,
47488,Astrocast-0102 ,LEO,Switzerland,Astrocast,Commercial,Communications,1/24/2021,
47487,Astrocast-0103 ,LEO,Switzerland,Astrocast,Commercial,Communications,1/24/2021,
47519,Astrocast-0104 ,LEO,Switzerland,Astrocast,Commercial,Communications,1/24/2021,
47517,Astrocast-0105 ,LEO,Switzerland,Astrocast,Commercial,Communications,1/24/2021,
48954,Astrocast-0201 ,LEO,Switzerland,Astrocast,Commercial,Communications,6/30/2021,
48961,Astrocast-0202   ,LEO,Switzerland,Astrocast,Commercial,Communications,6/30/2021,
48955,Astrocast-0203,LEO,Switzerland,Astrocast,Commercial,Communications,6/30/2021,
48952,Astrocast-0204 ,LEO,Switzerland,Astrocast,Commercial,Communications,6/30/2021,
48960,Astrocast-0205 ,LEO,Switzerland,Astrocast,Commercial,Communications,6/30/2021,
40930,Astrosat,LEO,India,Telemetry Tracking and Command Network (ISTRAC) Centre,Government,Space Science,9/28/2015,India's first space observatory.
44333,AT&T T16,GEO,USA,"DirecTV, Inc.",Commercial,Communications,6/20/2019,DirecTV was bought out by AT&T in 2015. They intend to eliminate the DirecTV brand in the near future.
46275,Athena,LEO,USA,PointView Tech,Commercial,Communications,9/2/2020,PointView's (subsidiary of Facebook) first satellite; will test technologies that could be used in a future constellation of small satellites to provide global broadband Internet services.
39509,Athena-Fidus,GEO,France/Italy,Centre National d'Etudes Spatiales (CNES)/Agenzia Spaziale Italiana (ASI),Government/Military,Communications,2/6/2014,"Carries 2 payloads, one each for France and Italy. Operates in the Ka and EHF bands."
41168,Athenoxat-1,LEO,Singapore,Microspace Rapid Pvt Ltd.,Commercial,Technology Development,12/16/2015,Technology demonstrator nanosatellite for Earth remote sensing.
39079,Azerspace 1/Africasat-1a,GEO,Azerbaijan,Azercosmos,Government,Communications,2/7/2013,First satellite for Azerbaijan. Operating from an orbital slot assigned to Malaysia.
43632,Azerspace 2/Intelsat-38,GEO,Azerbaijan,Azercosmos,Government,Communications,9/25/2018,Host Direct-to-Home (DTH) platforms for Central and Eastern Europe as well as the Asia-Pacific region.  Intelsat 38 will also provide connectivity for corporate networks and government applications in Africa. 
29526,Badr 4,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,11/8/2006,28 Ku-band transponders; voice and video communications to West Asia region.
36592,Badr 5,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,6/3/2010,"Second generation; radio and tv communications to Middle East; 26 C-band, 24 ku-band transponders."
36745,Badr 5A,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,6/26/2010,"26 C-band, 24 Ku-bandover sub-Saharan Africa, North Africa and the Middle East."
33154,Badr 6,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,7/7/2008,"24 C-band, 20 Ku-band transponders, direct-to-home voice, video, and internet services to the Middle East and North Africa."
41029,Badr 7,GEO,Multinational,Arab Satellite Communications Org. (ASCO),Government,Communications,11/10/2015,
43463,Bangabandhu 1,GEO,Bangladesh,Bangladesh Telecommunication Regulatory Commission (BTRC),Government,Communications,5/11/2018,"26 Ku-Band and 14 C-Band transponders. Major applications include DTH, very small aperture terminal (VSAT) communications, backhaul and trunking, network restoration, and disaster preparedness and relief."
49814,Baoyun,LEO,China,Tianyi Research Institute,Civil,Unknown,12/6/2021,
40420,Cosmos 2503,LEO,Russia,Ministry of Defense,Military,Earth Observation,2/27/2015,Electronic intelligence gathering (ELINT).
41394,Cosmos 2515,LEO,Russia,Ministry of Defense,Military,Earth Observation,3/24/2016,
52713,Cosmos 2556,LEO,Russia,Ministry of Defense,Military,Earth Observation,5/19/2022,
55978,Cosmos 2567,LEO,Russia,Ministry of Defense,Military,Earth Observation,3/23/2023,Electronic intelligence gathering (ELINT).
56171,BB-1,LEO,USA,Space Development Agency,Military,Technology Demonstration,4/2/2023,
56170,BB-2,LEO,USA,Space Development Agency,Military,Technology Demonstration,4/2/2023,
52175,BDSAT,LEO,Czech Republic,Central European Institute of Technology,Government,Technology Demonstration,4/1/2022,
55098,BDSAT-2,LEO,Czech Republic,Central European Institute of Technology,Civil,Communications,1/3/2023,Amateur Radio.
48083,Beesat-5,LEO,Germany,Technical University Berlin,Civil,Technology Demonstration,3/22/2021,Built to demonstrate a newly developed communication and navigation system.
47957,Beesat-6,LEO,Germany,Technical University Berlin,Civil,Technology Demonstration,3/22/2021,Built to demonstrate a newly developed communication and navigation system.
48084,Beesat-7,LEO,Germany,Technical University Berlin,Civil,Technology Demonstration,3/22/2021,Built to demonstrate a newly developed communication and navigation system.
48085,Beesat-8,LEO,Germany,Technical University Berlin,Civil,Technology Demonstration,3/22/2021,Built to demonstrate a newly developed communication and navigation system.
44412,Beesat-9,LEO,Germany,Technical University Berlin,Civil,Technology Development,7/5/2019,"Student built, will test an attitude control system."
38250,Beidou 2-12,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,4/28/2012,Part of Beidou constellation.
38251,Beidou 2-13,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,4/28/2012,Part of Beidou constellation.
38775,Beidou 2-15,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,9/18/2012,
38953,Beidou 2-16,GEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,10/25/2012,"Part of Beidou constellation, now operational."
41434,Beidou 2-17,GEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,3/30/2016,
41586,Beidou 2-18,GEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,6/12/2016,
40549,Beidou 3I-1S,GEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,3/30/2015,Third stage of Beidou constellation.
40938,Beidou 3I-2S,GEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,9/29/2015,
40748,Beidou 3M-1S,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,7/25/2015,
40749,Beidou 3M-2S,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,7/25/2015,
43001,Beidou 3-M1,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,11/5/2017,Ultra-accurate rubidium atomic clocks on board
44542,Beidou 3-23,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,9/22/2019,
44543,Beidou 3-24,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,9/22/2019,
43002,Beidou 3-25,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,11/5/2017,Ultra-accurate rubidium atomic clocks on board
43107,Beidou DW 26,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,1/11/2018,
43108,Beidou DW 27,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,1/11/2018,
43207,Beidou DW 28,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,2/12/2018,
43208,Beidou DW 29,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,2/12/2018,
43246,Beidou DW 30,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,3/29/2018,
43245,Beidou DW 31,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,3/29/2018,
43539,Beidou DW 32,GEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,7/9/2018,
43581,Beidou DW 33,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,7/29/2018,
43582,Beidou DW 34,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,7/29/2018,
43602,Beidou DW 35,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,8/24/2018,
43603,Beidou DW 36,MEO,China,Chinese Ministry of National Defense,Military/Government,Navigation/Global Positioning,8/24/2018,
